2,2,Simple,CAMARONES,4901,5600
2,2,Simple,CAMOATI,5501,5600
5,1,Progresiva,CAMPANA,1,500
5,1,Progresiva,CAMPANA,701,800
5,2,Simple,CAMPANA,801,900
5,2,Simple,CAMPANA,1101,1200
5,2,Simple,CAMPANA,2501,3700
5,1,Proqresiva,CANDELARIA,1,300
5,2,Simple,CANTILO JOSE LUIS,5001,5700
5,2,Simple,CANADA DE GOMEZ,4401,5100
5,2,Simple,CAÑONERA AMERICA,4851,4940
5,1,Progresiva,CARBALLIDO JOSE E,6301,6400
5,1,Proqresìva,CARDOSO,1,150
5,2,Simple,CARDOSO,151,400
5,1,Progresiva,CARHUE,1,400
5,2,Simple,CARHUE,401,600
5,2,Simple,CARRANZA CARLOS,4801,5000
5,1,Proqresiva,CARRERAS SANTfAGO de las,1,200
5,2,Simple,CARRERAS SANTIAGO de las,201,400
5,2,Simple .,CARRERAS SEGUNDO IÑIGO,7171,7250
5,2,Simple,CARRERAS SEGUNDO lÑIGO,7241,7300
5,2,Simple,CARRILSALVADOR MARIADELAV. \,3701,3800
,,,,,
5,2,Simple,CARRIL SALVADOR MARIA DELAV.,3702,3900
5,2,Simple,CARAIL SALVADOR MARIA DEL AV.,3802,3900
5,2,Simple,CARRIL SALVADOR MARIA DELAV.,4101,4200
5,2,Simple,CARRIL SALVADOR MARIA DEL AV.,4102,4300
5,2,Simple,CARRIL SALVADOR MARIA DEL AV.,4202,4300
5,2,Simple,CARRil SALVADOR MARIA DELAV.,5001,5100
5,2,Simple,CARAIL SALVADOR MARIA DEL AV.,5002,5200
5,2,Simple,CARRIL SALVADOR MARIA DELAV.,5102,5200
5,2,Simple,CASTELAR EMILIO,701,900
5,2,Simple,CASTEX,3201,3300
5,2,Simple,CASTRO ROSALIA DE,4601,4800
5,2,Simple,CATANIA,5401,5700
5,2,Simple,CERVANTES,301,3800
5,2,Simple,CHASCOMUS,4250,4329
5,2,Simple,CHASCOMUS,4302,4400
5,2,Simple,CHASCOMUS,4461,5900
5,2,Simple,CHECOSLOVAQUIA,4301,4500
5,2,Simple,CHILAVERT MARTINIANO CORONEL,5701,6900
5,1,Proqresiva,CHILECITO,3701,3800
5,1,Progresiva,CHIVILCOY,1,100
5,2,Simple,CHIVILCOY,101,1200
5,2,Simple,CHIVILCOY AV.,4201,4300
5,2,Simple,CHIVILCOY AV.,4202,4400
5,2,Simple,CHIVILCOY AV.,4302,4500
5,2,Simple,CHIVILCOY AV.,4402,4500
5,2,Simple,COLIGUE,2901,3000
5,2,Simple,CDUQUEO,2001,2300
5,2,Simple,COLLIVADINO PIO,401,500
5,1,Proqreslva,CONCORDIA,1,900
5,2,Simple,CONCORDIA,901,1200
5,2,Simple,CONCORDIA,2401,3700
5,2,Simple,CQNDARCO,1301,1400
5,2,Simple,CONDE,201,400
5,1,ProQresiva,CORRO MIGUEL C. DEL CANONIGO AV.,1,100
5,2,Simple,CORRO MIGUEL C. DEL CANONIGO AV.,358,700
5,2,Simple,CORTES GERONIMO,701,800
5,1,Proqresiva,CORTINA,91,100
5,2,Simple,GORTINA,101,150
5,2,Simple,CORTINA,301,366
5,2,Simple,CORTINA,359,21100
5,1,Proqresìva,CO RVA LAN,1,200
5,2,Simple,CORVALAN,201,558
5,2,Simple,CORVALAN,551,1251
5,2,Simple,CORVALAN,1244,1330
5,2,Simple,CORVALAN,1329,1400
5,1,Proqresiva,COSQUIN,1,100
5,2,Simple,COSQUIN,101,154
5,2,Simple,COSQUIN,154,600
5,2,Simple,COSQUIN,4401,5100
,,,,,
5,2,Simple,COTOCOlLAO,1301,1400
5,2,Simple,CUBAS JOSE,3801,4249
5,2,Simple,CUBAS JOSE,4233,4300
5,1,Progresiva,CUENCA,401,500
5,2,Simple,CUENCA,901,1000
5,2,Simple,CUENCA,2501,3000
5,2,Simple,CUENCA,3201,3700
5,2,Simple,CUERVO RUFlNO J.,2601,2700
5,2,Simple,CUNEO FRANCISCO,2401,2800
5,2,Simple,CUNNINGHAME GRAHAM ROBEATO,1101,1200
5,2,Simple,CURITYBA,5101,5200
5,2,Simple,DA VINCI LEONAFIDO,2001,2100
5,2,Sim pie,DA VINCI LEONARDO,2201,2400
5,2,Simple,D'AMICIS EDMUNDO,4701,4800
5,1,Progresiva,DANTE,1,200
5,2,Simple,DANTE,201,300
5,1,Progresiva,DE LA TORRE USANDRO,1,200
5,2,Simple,DE LA TORRE LlSANDRO,201,600
5,2,Simple,DE LA TORRE LlSANDRO,4201,4300
5,2,Simple,DE LA TORRE llSANDRO,4402,4499
5,2,Simple,DE LA TORRE LlSANDRO,4484,4521
5,2,Simple,DE LA TORRE USANDRO,4502,4900
5,2,Simple,DESEADO,5201,5300
5,2,Simple,DIAZ CESAR GRAL.,4401,5249
5,2,Simple,DIAZ CESAR GRAL.,5242,5600
5,1,Progresiva,DOLORES,1,300
5,2,Simple,DOLORES,301,800
5,2,Simple,DON CRISTOBAL,4001,4100
5,1,Progresiva,DONIZETTI,1,"0,2"
5,2,Simple,DONIZETTI,201,600
5,2,Simple,DUMAS VITO,301,500
5,2,Simple,DUMONT SANTOS,3201,3300
5,1,Progresiva,DUPUY,1,100
5,2,Simple,DUPUY,101,200
5,1,Progresiva,ECHENAGUCIA,1,100
5,2,Simple,ECHENAGUCIA,101,200
5,2,Simple,ECHEVARRIA VICENTE A. DE,5301,5600
5,2,Simple,El CARDENAL,6801,7000
5,2,SimQk__,El CARPINTERO,6801,7000
5,2,Simple,EL CHACHa,301,600
5,2,Simple,EL CRIOllO,1301,1400
5,2,S·lmple,EL FUERTE,4601,4700
5,1,Progresiva,EL HORNERO,101,200
5,2,Simple,EL HORNERO,201,600
5,1,Proqreslva,EL MIRASOL,101,200
5,1,Progresiva,EL MIRASOL,301,400
5,2,Simple,EL MIRASOL,401,600
5,2,Simple,EL NENE,1801,2100
,,,,,
5,2,Simple,EL RASTREADOR,301,600
5,2,Simple,EL SERENO,301,400
5,2,Simple,EL TREROL,6801,7000
5,2,Simple,EL ZORZAL,6801,7000
5,2,Simple,ENCINA CARLOS,501,800
5,1,Progresiva,ENSENADA,1,300
5,2,Simple,ENSENADA,201,500
5,1,Progresiva,ERCILLA,5101,5200
5,2,Simple,ERC11...LA,5201,6100
5,2,Simple,ESCALADA CELEDONIO Cmte.,5401,5500
5,2,Simple,ESCALADA DE SAN MARTIN R.,3801,4425
5,2,Simple,ESCALADA DE SAN MARTIN FI.,4410,4841
5,2,Simple,ESCALADA DE SAN MARTIN R.,4838,5100
5,2,Simple,ESPRONCEDA,2501,2800
5,2,Simple,ESQUINA,2401,2700
5,1,Progresiva,ESTEVES SAGUI,1,100
5,2,Simple,ESTEVES SAGUI,101,156
5,2,Simple,ESTOCOLMO,3201,3300
5,2,Simple,EUCLIDES,4801,5000
5,2,Simple,FACUNDO,301,600
,1,"Pro, resiva",FALCON RAMON L.CNEL.,3201,5400
5,1,Progresiva,FALCON RAMON L.CNEL.,6001,6207
5,1,Progresiva,FALCON RAMON L.CNEL.,6202,6363
5,1,Progresiva,FALCON RAMON L.CNEL.,6352,6450
5,1,Progresiva,FALCON RAMON L.CNEL.,6447,6750
5,1,Progresiva,FALCON RAMON L.CNEL.,6747,6773
5,1,Progresiva,FALCON RAMON L.CNEL.,6772,7300
5,1,Progresiva,"FALCON RAMON L.CNEL, AV.",5401,5500
,1,Progresiva,FALCON RAMON L.CNEL. AV.,5402,5600
5,1,Progresiva,FALCON RAMON L.CNEL. AV.,5502,5700
5,1,Progresiva,FALCON RAMON L.CNEL. AV.,5602,5800
5,1,Progresiva,FALCON RAMON L.CNEL. AV.,5702,5900
5,1,Progresiva,FALCON RAMON L.CNEL. AV.,5802,5900
5,2,Simple,FALUCHO SAN LUIS,4951,5000
5,1,Progresiva,FERNANDEZ,101,200
5,2,Simple,FERNANDEZ,201,600
5,2,Simple,FERNANDEZ,621,700
5,2,Simple,FERNANDEZ DE ENCISO,3801,4000
5,2,Simple,FERNANDEZ DE ENCISO,4201,4380
5,2,Simple,FERNANDEZ DE LA CRUZ F. GRAL. AV.,5701,5899
5,2,Simple,FERNANDEZ DE LA CRUZ F. GRAL. AV.,5702,6099
5,2,Simple,"FERNANDEZ DE LA CRUZ F. GRAL, AV.",6902,6100
5,1,Progresiva,FLORES VENANCIO Gral.,3201,3800
5,2,Simple,FLORES VENANCIO Gral.,3801,4600
5,2,Simple,FLORESTA,401,500
5,1,Progresiva,FONROUGE,1,73
5,1,Progresiva,FONROUGE,52,300
5,2,Simple,FONROUGE,301,1700
5,2,Simple,FRAGATA 25 DE MAYO,5901,6100
,,,,,
,,Simple,GALENO,5301,5400
5,2,Simple,GALICIA,2701,3000
5,2,Simple,GALICIA,3201,3310
5,2,Simple,GALICIA,3301,3800
5,2,Sim de,GAONA AV.,5301,5200
5,1,Progresiva,GARCIA DE COSSIO,5501,5650
5,1,Pro e resiva,GARCIA DE COSSIO,5647,5800
5,2,Sim•le,GARCIA DE COSSIO,5801,5900
5,2,Simple,GARCIA DE COSSIO,5875,5920
,2,Simple,GARCIA DE COSSIO,5901,6245
,2,Simple,GARCIA GRANDE DE ZEQUEIRA SEVERO,5301,6100
,2,Simple _,GARCIAJUAN AGUSTIN,5001,5700
5,2,Simple,GARZON EUGENIO GENERAL,3501,3678
5,2,Simple,GARZON EUGENIO GENERAL,3669,4000
,2,Sim 'le,GIBRALTAR,5301,5500
5,2,Simple,GOLETA SARANDI,6001,6050
5,2,Simble,GOLETA SARANDI,6047,6100
5,2,Sim3le,GOMEZ DE FONSECA,101,700
5,2,Simple,GONZALES CHAVES ADOLFO,201,300
5,2,Simple,GONZALEZ ELPIDIO,4901,5600
5,1,Progresiva,GONZALEZ JOAQUIN V.,201,800
,,Simple,GONZALEZ JOAQUIN V,801,1200
,,Simple,GONZALEZ JOAQUIN V.,3601,4400
5,2,Simple,GORDILLO JOSE O. CNEL.,2001,2200
5,2,Simple,GORULLO T MOTEO,201,600
5,2,Simple,GORDILLO TIMOTEO,4381,5100
5,2,Simple,GOYA,201,1150
5,2,Simple,GROUSSAC PAUL,5301,5700
,1,Progresiva,GUALEGUAYCHU,1,100
5,2,Simple,GUALEC3UAYCHU,101,1200
5,2,Simple,GUALEGUAYCHU,3701,4600
b,2,Simple,GUAMIN1,4501,5200
5,1,Progresiva,GUARDIA NACIONAL,101,300
5,2,Simple,GJARDIA NACIONAL,301,1300
5,2,Simple,GUEMES TORINO JORGE CADETE,501,600
5,2,Simple,GUTENBERG,2802,2900
5,2,Simple,GUTENBERG,3702,3800
5,2,Simple,GUTENBERG,3802,3903
5,2,Simple,GUTENBERG,3902,4000
5,2,Simple,GUTENBERG,4002,4103
,2,Simple,GUTENBERG,4102,4150
5,2,Simple,GUTIERFIEZ EDUARDO,5601,5703
5,2,Simple,GUTIERREZ RICARDO,2701,2799
,2,Simple,GUTIERREZ RICARDO,2801,2899
5,2,Simple,GUTIERREZ RICARDO,2802,2850
5,2,Simple,GUTIERREZ RICARDO,2852,2943
5,2,Simple,GUTIERREZ RICARDO,2902,3050
5,,Simple,GUTIERREZ RICARDO,2945,2999
,,,,,
