Zona,Tipo Tarifa Num,Tipo Tarifa,Calle,Altura Inicial,Altura Final
2,2,Simple,CIUDAD DE LA PAZ,201,400
2,1,Progresiva,CLAY,2901,3100
2,1,Proqresìva,COMBATE DE COSTA BRAVA,1,100
2,2,Simple,CONVENCION,1901,2000
2,2,Simple,COPERNICO,2301,2400
2,1,Procresìva,CORDOBAAV.,4301,5300
2,1,Proqresiva,CORDOBA AV.,5401,5408
2,2,Simple,CORONADO MARTIN,3101,3500
2,2,Simple,CORRIENTES AV.,6802,6900
2,2,Simple,COSSETTINI OLGA,1,400
2,2,Simple,COSTA EDUARDO,3001,3100
2,1,Proqresiva,COSTA RICA,3901,5250
2,2,Simple,GaSTA RICA,5401,6100
2,2,Simple,eUCHA CUCHA,1501,2050
2,2,Simple,CUCHA CUCHA,2001,2932
2,1,Progresiva,DARREGUEYRA,2001,2500
2,,,,,
2,1,Proqresiva,DARWIN,1,1700
2,2,Simple,DE LA BARRA EMMA,301,500
2,1,Progresiva,DE LOS INMIGRANTES AV.,2101,2199
2,1,Proqresiva,DE LOS INMIGRANTES AV.,2102,2299
2,1,Proqresiva,DE LOS INMIGRANTES AV.,2202,2499
2,1,Progresiva,DE LOS INMIGRANTES AV.,2302,2599
2,1,Progresiva,DE LOS INMIGRANTES AV.,2502,2600
2,2,Simple,DEL LIBERTADOR AV.,1701,1800
2,2,Simple,DEL LIBERTADOR AV.,1901,2600
2,2,Simple,DEL LIBERTADOR AV.,2701,2899
2,2,Simple,DEL LIBERTADOR AV.,2901,3200
2,2,Simple,DEL LIBERTADOR AV.,3501,3800
2,1,Proqresiva,DEL LIBERTADOR AV.,3901,5200
2,1,Progresiva,DEL PARQUE,1201,1300
2,2,Simple,DEMARIA,4401,4800
2,1,Progresiva,DIAZ CNEL AV.,1401,2300
2,2,Simple,DIAZ CNEL. AV.,2301,2859
2,2,Simple,DIAZ CNEL. AV.,2852,2900
2,2,Simple,DICKMAN ADOLFO Dr.,1101,1500
2,2,Simple,DORREGO,1701,1827
2,2,Simple,DORREGO,1802,2400
2,1,Progresiva,DORREGO,2401,2550
2,2,Simple,DORREGO AV.,1501,1600
2,1,Progresiva,DORREGO AV.,3201,3500
2,1,Progresiva,DRAGO LUIS MARIA,101,500
2,1,Progresiva,DRESCO ARTURO ANTONIO,2541,2580
2,1,Progresiva,DUMONT SANTOS,2301,2500
2,2,Simple,DUMONT SANTOS,2501,2800
2,2,Simple,DUMONT SANTOS,3401,4100
2,2,Simple,EL ALFABETO,1801,1900
2,2,Simple,EL LAZO,3101,3200
2,1,Progresiva,EL SALVADOR,3801,5300
2,2,Simple,EL SALVADOR,5401,6086
2,2,Simple,EL SALVADOR,6085,6100
2,2,Simple,ELCANO AV.,3601,3900
2,2,Simple,ELIZALDE RUFINO de,2801,2900
2,1,Progresiva,ESCALADA DE SAN MARTIN R.,301,500
2,2,Simple,ESCALADA DE SAN MARTIN R.,501,1100
2,2,Simple,ESPINOSA,1701,2403
2,2,Simple,ESPINOSA,2402,2800
2,2,Simple,ESTOMBA,1,200
2,2,Simple,ESTRADA Juez,2701,2900
2,2,Simple,FELS PABLO T.CABO,201,300
2,1,Proqresiva,FERRARI,201,500
2,1,Proqresiva,FIGUEROA D. APOLINARIO CORONEL,1,500
2,2,Simple,FIGUEROA D. APOLINARIO CORONEL,501,700
2,2,Simple,FITZ ROY,1,400
2,2,Simple,FITZ ROY \,701,2400
2,,,,,
2,1,Proqresíva,FITZROY,2401,2500
2,2,Simple,FORESTAV.,301,554
2,2,Simple,FORESTAV.,549,1200
2,2,Simple,FRAGA,1,800
2,2,Simple,FRAGATA Pres. SARMIENTO,1901,2300
2,1,Progresiva,FRAY JUSTO SANTAMARIA DE ORO,1701,2600
2,2,Simple,FRAY JUSTO SANTAMARIA DE ORO,2601,3100
2,1,Proqresiva,FRENCH,2101,3200
2,1,Progresiva,FRENCH,3501,3600
2,1,Proqresiva,FRIAS EUSTOQUIO HE. GENERAL,1,100
2,1,Progresiva,GALICIA,101,459
2,1,Proqresiva,GALICIA,452,500
2,2,Simple,GALICIA,501,850
2,2,Simple,GALILEO,2401,2500
2,1,Proqresiva,GALLO,1001,1300
2,1,Proqresiva,GALLO,1281,1306
2,1,Proqresiva,GALLO,1301,1419
2,1,Progresiva,GALLO,1408,1700
2,1,Proqresiva,GANDHI MAHATMA,201,570
2,1,Progresiva,GANDHI MAHATMA,551,800
2,2,Simple,GAONAAV.,1101,1199
2,2,Simple,GARCIA JUAN AGUSTIN,1201,1522
2,2,Simple,GARCIA JUAN AGUSTIN,1511,1600
2,1,Proqresiva,GARCIA TEODORO,1601,2400
2,2,Simple,GARCIA TEODORO,3501,3958
2,1,Proqresiva,GASCON,1101,1800
2,2,Simple,GELLY,3301,3700
2,2,Simple,GELLY Y OBES GRAL. AV.,2211,2400
2,2,Simple,GIRIBONE,601,1300
2,1,Progresiva,GODOY CRUZ,1201,2800
2,2,Simple,GODOY CRUZ,2801,3300
2,1,Proqreslva,GOROSTIAGA,1501,2400
2,1,Proqresiva,GORRITI,3391,5388
2,1,Progresiva,GaRRITI,5401,5450
2,2,Simple,GORRITI,5451,6100
2,2,Simple,GRANADA NIGOLAS,1601,1700
2,1,Proqresiva,GUATEMALA,4101,5200
2,2,Simple,GUATEMALA,5401,6100
2,1,Progresiva,GUEMES,2901,3000
2,1,Proqresiva,GUEMES,4601,4900
2,2,Simple,GUEVARA,1,700
