Zona ,Tipo Tarifa – Num,Tipo Tarifa,Calle,Altura Inicial,Altura Final
1,2,Simple,SAN JUAN AV.,2771,2824
1,2,Simple,"SAN JUAN AV,",2801,3000
1,2,Simple,SAN LORENZO,201,290
1,2,Simple,SAN LORENZO,301,400
1,1,Progresiva,SAN LUiS,2401,3300
1,1,Progresiva,SAN LUIS,3401,3500
1,1,Proqresiva,SANCHEZ DE BUSTAMANTE,1,130
1,1,Progresiva,SANCHEZ DE BUSTAMANTE,201,1100
1,1,Progresiva,SANCHEZ DE LORIA,1,400
1,2,Simple,SANCHEZ DE LORIA,401,1600
1,2,Simple,SANTA CRUZ,201,300
1,1,Progresiva,SANTA FE AV.,701,774
1,2,Simple,SANTA TERESA,1401,1500
1,1,Progresiva,SARANOI,1,500
1,2,Simple,SARANDI,501,1200
1,2,Simple,SARANDI,1301,1600
1,1,Progresiva,SARMIENTO,1201,2800
1,2,Simple,SNO (ALT MIN. BRIN 400),101,200
1,2,Simple,SNO (ALT MIN. BRIN 400),181,200
1,2,Simple,SNO (ALT NECOCHEA 100),201,300
1,2,Simple,SNO (ALT.IRALA ioo),101,200
1,2,Simple,SNO(ALT PI y MARGALl900),901,1000
1,1,Prog resiva,Solis,101,400
1,1,Progresiva,SPEGAZZINI CARLOS,401,500
1,2,Simple,SPEGAZZINI CARLOS,501,600
1,2,Simple,SUAREZ,1,658
1,2,Simple,SUAREZ 1,660,1700
1,1,Progresiva,SUIPACHA ,1401,1500
1,2,Simple,TABORDA DIOGENES,501,590
1,2,Simple,TABORDA OIOGENES,601,800
1,1,Progresiva,TACUARI,101,400
1,2,Simple,TACUARI,1701,2100
1,1,Progresiva,TALCAHUANO,601,1300
1,2,Simple,TARIJA,3301,4400
1,1,Proqresiva,TOSCANINI ARTURO,1101,1200
1,2,Simple,TOTORAL,901,1000
1,1,Progresiva,TREINTA Y TRES ORIENTALES,1,300
1,2,S impie,TREI NTAY TRES ORIENTALES,301,760
1,2,Simple,TREINTA Y TRES ORIENTALES,757,1300
1,1,Progresiva,TRES SARGENTOS,301,500
1,1,Progresiva,TROI io AN IBAl,901,1000
1,1,Progresiva,TUCUMAN,1,200
1,1,Proqresiva,TUGUMAN,1501,1600
1,1,Proqresiva,TUCUMAN,1680,1700
1,1,Procreslva,TUCUMAN,2701,3900
1,1,Progresiva,URIBURU JOSE E. Pres.,1,700
1,2,Simple,URQUIZA Gral.,501,1259
1,2,Simple,URQUIZA Gral.,1252,1668
1,2,Simple,URQUIZA Gral.,1651,1800
1,1,Progresiva,URUGUAY,201,400
1,1,Progresiva,URUGUAY,801,1400
1,1,Progresiva,URUGUAY AV.,401,800
1,2,Simple,USPAlLATA,401,1000
1,2,Simple,USPAlLATA,1601,2500
1,2,Simple,VALLE ARISTOBUlO DEL,1,800
1,2,Simple,VALLE ARISTOBUlO DEL,901,2100
1,2,Simple,VALLE IBERlUCEA del Dr.,601,1300
1,1,Proqresiva,VENEZUELA,1,200
1,1,Progresiva,VENEZUELA,1601,1900
1,1,Progresiva,VENEZUELA,2001,2800
1,2,Simple,VENEZUELA,2801,3100
1,2,Simple,VENEZUELA,3201,3500
1,2,Simple,VERA PEÑAlOZA ROSARIO,301,399
1,2,Simple,VERA PEÑALOZA ROSARIO,302,600
1,2,Simple,VERA PEÑALOZA ROSARIO,401,499
1,2,Simple,VERA PEÑAlOZA ROSARIO,501,599
1,2,Simple,VERA PEÑAlDZA ROSARIO,601,699
1,2,Simple,VERA PENALOZA ROSARIO,602,700
1,2,Simple,VESPUCIO,1,100
1,1,Progresiva,VIAMONTE,1,200
1,1,Progresiva,VIAMONTE,2801,3000
1,2,Simple,VICTORICA MIGUEL C.,101,200
1,2,Simple,VIEYRA,1901,2000
1,2,Simple,VILLAFAÑE WENCESLAD,1,800
1,2,Simple,VILLAFANE WENCESLAO,1001,1700
1,2,Simple,VILLAFLOR AZUCENA,302,499
1,2,Simple,VILLAFLOR AZUCENA,402,500
1,1,Progresiva,YAPEYU,1,400
1,2,Simple,YAPEVU,401,1000
1,2,Simple,YATAY,301,500
1,1,Progresiva,YATAY,501,1200
1,1,Progresiva,VERBAL,1,50
1,1,Progresiva,YFlIGOYEN HIPOLITO,1901,2600
1,1,Progresiva,YRIGOYEN HIPOLITO AV.,441,500
1,1,Progresiva,YRIGOYEN HIPOLITO AV.,4201,4400
1,1,Propreslva,ZELAYA,3001,3200
1,2,Simple,ZOLEZZI ANTONIO L.,1,300
